Source_Database_Code,PatientID,PatientFirstName,PatientMiddleName,PatientLastName,PatientAddress,PatientAddress2,PatientCity,PatientState,PatientZip,PatientDOB,PatientPhone,PatientGender,ResponsiblePartyFirstName,ResponsiblePartyMiddleName,ResponsiblePartyLastName,ResponsiblePartyAddress,ResponsiblePartyAddress2,ResponsiblePartyCity,ResponsiblePartyState,ResponsiblePartyZip,ResponsiblePartyPhone,PatientSSN,PatientSuffix,PatientCellPhone,ResponsiblePartySSN,ResponsiblePartySuffix,ResponsiblePartyCellPhone,ResponsiblePartyDOB,Imagine_Propensity_to_Pay_Grade,Imagine_Propensity_to_Pay_Description,Bad_Address_Indicator,PatientRace,PatientEthnicity,patEmail,tbl_Refresh_Date,PatientPhone_norm,ResponsiblePartyPhone_norm,PatientCellPhone_norm,ResponsiblePartyCellPhone_norm,_phone_institutional_flag,_pk_composite
RADM,1000000,MARY,Z,ALLEN,3960 MAPLE DR,,HOUSTON,TX,77001,1950-07-08,(512)399-2181,F,MARY,Z,ALLEN,1559 ELM ST,,DALLAS,TX,75201,(512)399-2181,999-85-1332,,,999-85-1332,,,1950-07-08,D,Medium,0.0,Asian,,,2026-05-01,5123992181,5123992181,,,False,RADM:1000000
TRI,1000002,SANDRA,,BROWN,7252 HILL AVE,,MOUNT JULIET,TN,37122,1974-11-17,,F,SANDRA,,BROWN,5146 CEDAR PL,,NASHVILLE,TN,37201,(615)760-0209,999-69-4203,,,999-69-4203,,,,,,0.0,,,SANDRABRO452@YAHOO.COM,2026-05-01,,6157600209,,,False,TRI:1000002
RADH,1000005,KAREN,,ALLEN,4641 CEDAR CT,,DALLAS,TX,75201,1950-12-24,(214)323-7526,F,KAREN,,ALLEN,5121 RIVER ST,,HOUSTON,TX,77001,(214)323-7526,999-22-2817,,,999-22-2817,,,,D,,,Asian,,KARENALL442@GMAIL.COM,2026-05-01,2143237526,2143237526,,,False,RADH:1000005
NRAA,1000007,EDWARD,N,WHITE,4541 RIVER WAY,,LEBANON,TN,37087,1964-11-18,(423)208-7204,M,EDWARD,N,WHITE,3264 MAIN PL,,KNOXVILLE,TN,37902,(423)208-7204,,,,,,,1998-11-02,C,Medium-High,0.0,,,,2026-05-01,4232087204,4232087204,,,False,NRAA:1000007
RADZ,1000011,BARBARA,V,YOUNG,9463 PARK ST,,JACKSONVILLE,FL,32099,1951-10-28,(407)866-9749,F,BARBARA,V,YOUNG,8020 PARK LN,,TAMPA,FL,33601,(904)721-4892,,,,999-30-9071,,,2008-03-11,C,Medium-High,0.0,,,,2026-05-01,4078669749,9047214892,,,False,RADZ:1000011
NRA,1000014,MARY,Z,PEREZ,3297 ELM RD,,MURFREESBORO,TN,37128,1991-10-24,(901)811-0228,F,MARY,Z,PEREZ,1957 PINE RD,,KNOXVILLE,TN,37902,(901)811-0228,999-14-8125,,,,,,1991-10-24,,,1.0,,,,2026-05-01,9018110228,9018110228,,,False,NRA:1000014
SAPA,1000018,CAROL,,MARTINEZ,4236 ELM CIR,,AUSTIN,TX,78701,1956-06-08,(713)408-1128,F,CAROL,,MARTINEZ,9802 PINE CT,,HOUSTON,TX,77001,(713)408-1128,,,,999-51-4886,,,2000-12-05,,,1.0,,,CAROLMAR508@GMAIL.COM,2026-05-01,7134081128,7134081128,,,False,SAPA:1000018
GRH,1000019,CHARLES,,GREEN,1008 SCHOOL CT,,AUGUSTA,GA,30901,1964-05-28,(678)805-3596,M,CHARLES,,GREEN,8702 OAK WAY,,COLUMBUS,GA,,(678)805-3596,999-95-6813,,,999-95-6813,,,1964-05-28,B,High,1.0,White,Not Hispanic,,2026-05-01,6788053596,6788053596,,,False,GRH:1000019
RADX,1000020,LARRY,,LOPEZ,9123 CHURCH LN,,HOUSTON,TX,77001,1982-11-08,(817)397-8857,M,LARRY,,LOPEZ,4121 AMANA ST,,SAN ANTONIO,TX,78201,(817)397-8857,,,,,,,1982-11-08,D,,0.0,,,LARRYLOP486@OUTLOOK.COM,2026-05-01,8173978857,8173978857,,,False,RADX:1000020
RASFA,1000023,SUSAN,E,ANDERSON,8557 ELM WAY,,DALLAS,TX,75201,1970-04-09,(972)522-9804,F,SUSAN,E,ANDERSON,5568 MAIN DR,,DALLAS,TX,75201,(972)522-9804,999-52-3303,,,999-52-3303,,,1971-04-12,D,,0.0,,,SUSANAND577@GMAIL.COM,2026-05-01,9725229804,9725229804,,,False,RASFA:1000023
RADD,1000026,RONALD,G,PEREZ,2857 OAK LN,,SAVANNAH,GA,31401,1984-01-01,,M,RONALD,G,PEREZ,1867 OAK WAY,,AUGUSTA,GA,30901,,999-42-8708,,,999-44-2331,,,1984-01-01,E,Low,,Asian,,RONALDPER871@AOL.COM,2026-05-01,,,,,False,RADD:1000026
RADT,1000030,KIMBERLY,,ADAMS,4820 HILL CIR,,AKRON,OH,44301,2004-04-21,(330)418-9683,F,KIMBERLY,,ADAMS,7802 LAKE CT,,CLEVELAND,OH,44101,(419)782-9685,,,,,,,2004-04-21,,,0.0,White,,,2026-05-01,3304189683,4197829685,,,False,RADT:1000030
RADG,1000032,JAMES,,HARRIS,1218 RIVER LN,,LEBANON,TN,37087,1949-01-27,(865)377-7340,M,JAMES,,HARRIS,2120 SPRING RD,,FRANKLIN,TN,37064,(865)377-7340,,,,,,,1949-01-27,A,,0.0,White,,,2026-05-01,8653777340,8653777340,,,False,RADG:1000032
RADS2,1000033,RONALD,E,CLARK,6947 CEDAR CT,,PLANO,TX,75023,1988-02-05,(214)862-8340,M,RONALD,E,CLARK,5444 MAIN RD,,DALLAS,TX,75201,(214)862-8340,,,,,,,1988-02-05,C,Medium-High,0.0,,,,2026-05-01,2148628340,2148628340,,,False,RADS2:1000033
TRI,1000034,JOSE,E,LEE,487 CHURCH CIR,,LEBANON,TN,37087,1995-07-30,(931)701-8430,M,JOSE,E,LEE,1538 SPRING LN,,MURFREESBORO,TN,37128,(931)701-8430,999-61-6049,,,999-23-2131,,,1995-07-30,,,0.0,,Not Hispanic,,2026-05-01,9317018430,9317018430,,,False,TRI:1000034
