Contact_ID,Master_Contact_ID,Contact_Code,Media_Name,Contact_Name,ANI_DIALNUM,Skill_No,Skill_Name,Campaign_No,Campaign_Name,Agent_No,Agent_Name,Team_No,Team_Name,SLA,Start_Date,start_time,PreQueue,InQueue,Agent_Time,PostQueue,ACW_Time,Total_Time_Plus_Disposition,Abandon_Time,Routing_Time,Abandon,Callback_Time,Logged,Hold_Time,Disp_Code,Disp_Name,Disp_Comments,Tags,Start_Date_clean,ANI_DIALNUM_norm,_phone_is_junk,_phone_is_dialler,_rc_attributable
593000000000,593000000000,89699103,Phone Call,8801489566,9316815919,2041873,PMR English,2017257,MRB,46304211,Sarah Thompson,5532284,Collections North,0,2026-03-12,2026-05-04 07:59:20,193,28,426,0,7,654,0,5,N,0,N,31,4193,No Answer,,,2026-03-12,9316815919,False,False,True
593000000001,593000000001,29091173,Phone Call,8811517331,6143878802,9845028,Inbound Main,9710361,IAI,62271773,Amanda Johnson,3043984,PXP - Sagility,0,2025-05-16,2026-05-04 07:59:20,256,29,172,0,60,517,0,8,N,0,N,20,5102,Patient Refused,,Repeat Caller,2025-05-16,6143878802,False,False,True
593000000002,593000000002,61094909,Phone Call,8296270416,8658984125,6229245,IAI English,5427381,ACR,31936509,Maria Santos,6900108,Team Gamma,1,2025-06-05,2026-05-04 07:59:20,293,5,856,0,106,1260,0,5,N,0,N,39,7285,Left Message,,First Time Call,2025-06-05,8658984125,False,False,True
593000000003,593000000003,93324884,Phone Call,8941941869,4192728186,1622848,SAPA English,1047464,SMED,28627568,Michael Rivera,3778392,Team Beta,0,2025-11-08,2026-05-04 07:59:20,192,21,1021,0,91,1325,0,9,N,0,N,53,2729,Answering Machine,,Repeat Caller,2025-11-08,4192728186,False,False,True
593000000004,593000000004,39669183,Phone Call,8072898823,6148344868,1416873,Outbound Collection,8763408,GRH,45185799,Sarah Thompson,9064867,Team Alpha,1,2025-06-08,2026-05-04 07:59:20,23,8,68,0,26,125,0,9,N,0,N,23,7987,Answering Machine,,,2025-06-08,6148344868,False,False,True
593000000005,593000000005,55168285,Phone Call,8814541063,4197692024,6640097,SAPA English,1888581,RASFA,12551785,Nicole Brown,4175664,Team Beta,0,2025-09-27,2026-05-04 07:59:20,62,24,407,0,59,552,0,2,N,0,N,4,7496,No Answer,,,2025-09-27,4197692024,False,False,True
593000000006,593000000006,75860679,Phone Call,8432143388,6149524239,7389254,PMR English,6032066,NRA,55361714,Maria Santos,4450887,Team Beta,1,2025-10-11,2026-05-04 07:59:20,291,4,103,0,74,472,0,1,N,0,N,27,6070,Disconnected,,Repeat Caller,2025-10-11,6149524239,False,False,True
593000000007,593000000007,92496270,Phone Call,8050306892,9012806036,5363390,Outbound Collection,8263997,NRAA,32546546,Jennifer Lee,9842539,PXP - Sagility,1,2026-04-19,2026-05-04 07:59:20,151,16,1119,0,77,1363,0,4,N,0,N,33,6675,Callback Scheduled,,,2026-04-19,9012806036,False,False,True
593000000008,593000000008,44872307,Phone Call,8667271946,4788549921,4130595,Outbound Collection,1600361,TRI,57331694,Jennifer Lee,8990122,RCM Offshore,1,2025-05-29,2026-05-04 07:59:20,239,11,902,0,72,1224,0,9,N,0,N,57,5235,Disconnected,,,2025-05-29,4788549921,False,False,True
593000000009,593000000009,53007214,Phone Call,8688537859,9123588475,4872850,NRA English,6255090,GRH,18694978,Nicole Brown,1201673,Collections South,1,2025-07-24,2026-05-04 07:59:20,226,3,812,0,89,1130,0,0,N,0,N,2,9003,Wrong Number,,,2025-07-24,9123588475,False,False,True
