phonebridgeId:ID(PhoneBridge),source_db,patient_id:long,phone_norm,phone_type,rc_call_count:float,campaign_count:float,campaigns_contacted,primary_campaign,:LABEL
RADM:1000000:5123992181,RADM,1000000,5123992181,responsible_party,0.0,0.0,,,PhoneBridge
TRI:1000002:6157600209,TRI,1000002,6157600209,responsible_party,0.0,0.0,,,PhoneBridge
RADH:1000005:2143237526,RADH,1000005,2143237526,responsible_party,0.0,0.0,,,PhoneBridge
NRAA:1000007:4232087204,NRAA,1000007,4232087204,responsible_party,0.0,0.0,,,PhoneBridge
RADZ:1000011:4078669749,RADZ,1000011,4078669749,patient,0.0,0.0,,,PhoneBridge
RADZ:1000011:9047214892,RADZ,1000011,9047214892,responsible_party,0.0,0.0,,,PhoneBridge
NRA:1000014:9018110228,NRA,1000014,9018110228,responsible_party,0.0,0.0,,,PhoneBridge
SAPA:1000018:7134081128,SAPA,1000018,7134081128,responsible_party,0.0,0.0,,,PhoneBridge
GRH:1000019:6788053596,GRH,1000019,6788053596,responsible_party,0.0,0.0,,,PhoneBridge
RADX:1000020:8173978857,RADX,1000020,8173978857,responsible_party,1.0,1.0,GSIA,GSIA,PhoneBridge
RASFA:1000023:9725229804,RASFA,1000023,9725229804,responsible_party,0.0,0.0,,,PhoneBridge
RADT:1000030:3304189683,RADT,1000030,3304189683,patient,0.0,0.0,,,PhoneBridge
RADT:1000030:4197829685,RADT,1000030,4197829685,responsible_party,0.0,0.0,,,PhoneBridge
RADG:1000032:8653777340,RADG,1000032,8653777340,responsible_party,1.0,1.0,TRI,TRI,PhoneBridge
RADS2:1000033:2148628340,RADS2,1000033,2148628340,responsible_party,0.0,0.0,,,PhoneBridge
TRI:1000034:9317018430,TRI,1000034,9317018430,responsible_party,0.0,0.0,,,PhoneBridge
RADB:1000035:2106673561,RADB,1000035,2106673561,responsible_party,0.0,0.0,,,PhoneBridge
RADA:1000037:9017678167,RADA,1000037,9017678167,patient,0.0,0.0,,,PhoneBridge
RADA:1000037:9019950264,RADA,1000037,9019950264,responsible_party,0.0,0.0,,,PhoneBridge
RADM:1000039:2109167774,RADM,1000039,2109167774,responsible_party,0.0,0.0,,,PhoneBridge
RADQ:1000043:7027800008,RADQ,1000043,7027800008,patient,0.0,0.0,,,PhoneBridge
RADQ:1000043:7029114111,RADQ,1000043,7029114111,responsible_party,0.0,0.0,,,PhoneBridge
ESR:1000047:8133760069,ESR,1000047,8133760069,responsible_party,0.0,0.0,,,PhoneBridge
CIRPA:1000049:8136268617,CIRPA,1000049,8136268617,patient,0.0,0.0,,,PhoneBridge
CIRPA:1000049:4079965661,CIRPA,1000049,4079965661,responsible_party,0.0,0.0,,,PhoneBridge
RADI:1000050:4049129106,RADI,1000050,4049129106,patient,0.0,0.0,,,PhoneBridge
RADI:1000050:9122863777,RADI,1000050,9122863777,responsible_party,0.0,0.0,,,PhoneBridge
PMR:1000051:6156412721,PMR,1000051,6156412721,patient,0.0,0.0,,,PhoneBridge
