rccallId:ID(RCCall),campaign_name,skill_name,agent_name,team_name,start_date,pre_queue:int,in_queue:int,agent_time:int,acw_time:int,total_time:int,abandon_time:int,abandon,sla:int,disp_name,hold_time:int,ani_norm,rc_attributable:boolean,tags,:LABEL
593000000000,MRB,PMR English,Sarah Thompson,Collections North,2026-03-12,193,28,426,7,654,0,N,0,No Answer,31,9316815919,True,,RCCall
593000000001,IAI,Inbound Main,Amanda Johnson,PXP - Sagility,2025-05-16,256,29,172,60,517,0,N,0,Patient Refused,20,6143878802,True,Repeat Caller,RCCall
593000000002,ACR,IAI English,Maria Santos,Team Gamma,2025-06-05,293,5,856,106,1260,0,N,1,Left Message,39,8658984125,True,First Time Call,RCCall
593000000003,SMED,SAPA English,Michael Rivera,Team Beta,2025-11-08,192,21,1021,91,1325,0,N,0,Answering Machine,53,4192728186,True,Repeat Caller,RCCall
593000000004,GRH,Outbound Collection,Sarah Thompson,Team Alpha,2025-06-08,23,8,68,26,125,0,N,1,Answering Machine,23,6148344868,True,,RCCall
593000000005,RASFA,SAPA English,Nicole Brown,Team Beta,2025-09-27,62,24,407,59,552,0,N,0,No Answer,4,4197692024,True,,RCCall
593000000006,NRA,PMR English,Maria Santos,Team Beta,2025-10-11,291,4,103,74,472,0,N,1,Disconnected,27,6149524239,True,Repeat Caller,RCCall
593000000007,NRAA,Outbound Collection,Jennifer Lee,PXP - Sagility,2026-04-19,151,16,1119,77,1363,0,N,1,Callback Scheduled,33,9012806036,True,,RCCall
593000000008,TRI,Outbound Collection,Jennifer Lee,RCM Offshore,2025-05-29,239,11,902,72,1224,0,N,1,Disconnected,57,4788549921,True,,RCCall
593000000009,GRH,NRA English,Nicole Brown,Collections South,2025-07-24,226,3,812,89,1130,0,N,1,Wrong Number,2,9123588475,True,,RCCall
593000000010,IAI,IAI English,Nicole Brown,Team Alpha,2025-10-31,266,2,478,95,841,0,N,1,Answering Machine,52,5134675922,True,,RCCall
593000000011,IAI,IAI English,Michael Rivera,Collections South,2026-04-23,136,20,1017,24,1197,0,N,1,Left Message,47,,False,,RCCall
593000000012,TRI,Espanol,Brandon Smith,Team Beta,2026-02-28,107,23,226,30,386,0,N,0,Promise to Pay,30,7132390946,True,,RCCall
593000000013,CRC,NRA English,Ashley Wilson,Team Alpha,2025-10-26,280,15,571,66,932,0,N,1,Promise to Pay,28,2109130196,True,,RCCall
593000000014,PMR,PMR English,Brandon Smith,RCM Offshore,2025-06-06,41,16,866,14,937,0,N,1,Answering Machine,44,7704446266,True,Repeat Caller,RCCall
593000000015,ACRB,Outbound Collection,Nicole Brown,Collections South,2025-09-02,21,13,434,63,531,0,N,1,No Answer,59,8136067969,True,,RCCall
593000000016,TRI,Espanol,David Chen,Team Alpha,2025-09-03,66,0,129,98,293,0,N,1,In Queue,57,2149275964,True,Repeat Caller,RCCall
593000000017,NRA,Espanol,Michael Rivera,PXP - Sagility,2025-06-01,250,0,76,48,374,0,N,1,Disconnected,32,4239200164,True,,RCCall
593000000018,SAPA,SAPA English,Nicole Brown,Collections South,2025-07-12,1,11,255,20,287,0,N,1,Patient Refused,41,2105328806,True,,RCCall
593000000019,NRA,PMR English,Robert Garcia,Team Alpha,2026-02-16,101,27,348,77,553,9,Y,0,Patient Refused,27,5127170056,True,,RCCall
593000000020,IAI,SAPA English,Christopher Martinez,Team Alpha,2026-01-05,38,28,90,44,200,0,N,0,Patient Refused,34,3052413343,True,First Time Call,RCCall
593000000021,PMR,Espanol,Sarah Thompson,Team Gamma,2025-11-26,93,20,117,66,296,0,N,1,Resolved,36,3053538540,True,Repeat Caller,RCCall
593000000022,NRA,CRC English,Nicole Brown,Team Alpha,2025-08-29,196,28,1082,52,1358,0,N,0,Patient Refused,5,4194996290,True,Repeat Caller,RCCall
593000000023,SMED,Espanol,Michael Rivera,Team Beta,2025-05-23,217,15,141,43,416,0,N,1,Disconnected,27,,False,,RCCall
593000000024,GRH,PMR English,Amanda Johnson,Team Gamma,2025-10-04,258,19,545,69,891,0,N,1,Promise to Pay,2,6149746079,True,First Time Call,RCCall
593000000025,PMR,PMR English,Robert Garcia,Team Gamma,2025-07-03,292,20,1109,115,1536,0,N,1,In Queue,50,5127131028,True,Escalation,RCCall
593000000026,PMR,NRA English,Christopher Martinez,Team Alpha,2025-11-05,197,16,267,90,570,0,N,1,Payment Collected,39,9047715905,True,First Time Call,RCCall
593000000027,PMR,IAI English,Amanda Johnson,Team Alpha,2026-03-16,90,21,1055,39,1205,0,N,0,Left Message,14,8174216262,True,,RCCall
593000000028,SAPA,Espanol,Jerome Viloria,Collections South,2026-01-02,231,19,1084,64,1398,0,N,1,Payment Collected,4,4234509193,True,Escalation,RCCall
593000000029,GSIA,IAI English,Jennifer Lee,Collections South,2025-07-01,148,16,154,69,387,0,N,1,Disconnected,42,2164086660,True,Repeat Caller,RCCall
593000000030,IAI,Inbound Main,Maria Santos,Team Alpha,2025-05-17,52,20,191,58,321,0,N,1,Payment Collected,53,8177913300,True,Escalation,RCCall
593000000031,NRA,Inbound Main,Amanda Johnson,PXP - Sagility,2025-11-28,270,26,734,34,1064,0,N,0,Left Message,13,9549528081,True,Repeat Caller,RCCall
593000000032,ACRB,IAI English,Jennifer Lee,RCM Offshore,2025-07-20,242,24,856,19,1141,0,N,0,Resolved,35,3308167371,True,First Time Call,RCCall
593000000033,RASFA,NRA English,Maria Santos,Team Gamma,2025-10-28,56,15,621,2,694,0,N,1,In Queue,25,3053096451,True,,RCCall
593000000034,MRB,Outbound Collection,Nicole Brown,RCM Offshore,2026-04-16,192,8,120,81,401,0,N,1,Resolved,40,6144242771,True,,RCCall
593000000035,NRAA,IAI English,Jerome Viloria,PXP - Sagility,2026-02-15,272,13,966,90,1341,0,N,1,Wrong Number,28,9373972886,True,Escalation,RCCall
593000000036,GRH,Espanol,Sarah Thompson,Team Gamma,2025-06-08,46,13,1164,94,1317,0,N,1,Disconnected,53,2148911485,True,Repeat Caller,RCCall
593000000037,NRA,SAPA English,Amanda Johnson,Team Beta,2025-10-28,1,1,610,61,673,0,N,1,Disconnected,12,6146665295,True,First Time Call,RCCall
593000000038,PMR,NRA English,Maria Santos,Team Alpha,2025-11-10,94,23,516,10,643,23,Y,0,Answering Machine,5,4193492139,True,First Time Call,RCCall
