:START_ID(Patient),:END_ID(PhoneBridge),:TYPE
RADM:1000000,RADM:1000000:5123992181,IDENTIFIED_BY_PHONE
TRI:1000002,TRI:1000002:6157600209,IDENTIFIED_BY_PHONE
RADH:1000005,RADH:1000005:2143237526,IDENTIFIED_BY_PHONE
NRAA:1000007,NRAA:1000007:4232087204,IDENTIFIED_BY_PHONE
RADZ:1000011,RADZ:1000011:4078669749,IDENTIFIED_BY_PHONE
RADZ:1000011,RADZ:1000011:9047214892,IDENTIFIED_BY_PHONE
NRA:1000014,NRA:1000014:9018110228,IDENTIFIED_BY_PHONE
SAPA:1000018,SAPA:1000018:7134081128,IDENTIFIED_BY_PHONE
GRH:1000019,GRH:1000019:6788053596,IDENTIFIED_BY_PHONE
RADX:1000020,RADX:1000020:8173978857,IDENTIFIED_BY_PHONE
RASFA:1000023,RASFA:1000023:9725229804,IDENTIFIED_BY_PHONE
RADT:1000030,RADT:1000030:3304189683,IDENTIFIED_BY_PHONE
RADT:1000030,RADT:1000030:4197829685,IDENTIFIED_BY_PHONE
RADG:1000032,RADG:1000032:8653777340,IDENTIFIED_BY_PHONE
RADS2:1000033,RADS2:1000033:2148628340,IDENTIFIED_BY_PHONE
TRI:1000034,TRI:1000034:9317018430,IDENTIFIED_BY_PHONE
RADB:1000035,RADB:1000035:2106673561,IDENTIFIED_BY_PHONE
RADA:1000037,RADA:1000037:9017678167,IDENTIFIED_BY_PHONE
RADA:1000037,RADA:1000037:9019950264,IDENTIFIED_BY_PHONE
RADM:1000039,RADM:1000039:2109167774,IDENTIFIED_BY_PHONE
RADQ:1000043,RADQ:1000043:7027800008,IDENTIFIED_BY_PHONE
RADQ:1000043,RADQ:1000043:7029114111,IDENTIFIED_BY_PHONE
ESR:1000047,ESR:1000047:8133760069,IDENTIFIED_BY_PHONE
CIRPA:1000049,CIRPA:1000049:8136268617,IDENTIFIED_BY_PHONE
CIRPA:1000049,CIRPA:1000049:4079965661,IDENTIFIED_BY_PHONE
RADI:1000050,RADI:1000050:4049129106,IDENTIFIED_BY_PHONE
RADI:1000050,RADI:1000050:9122863777,IDENTIFIED_BY_PHONE
PMR:1000051,PMR:1000051:6156412721,IDENTIFIED_BY_PHONE
PMR:1000051,PMR:1000051:4239689655,IDENTIFIED_BY_PHONE
ACRB:1000055,ACRB:1000055:2165052523,IDENTIFIED_BY_PHONE
RADO:1000059,RADO:1000059:3054387827,IDENTIFIED_BY_PHONE
CIRPA:1000062,CIRPA:1000062:9049850797,IDENTIFIED_BY_PHONE
CIRPA:1000062,CIRPA:1000062:5617429121,IDENTIFIED_BY_PHONE
RADS2:1000064,RADS2:1000064:9726873783,IDENTIFIED_BY_PHONE
RADS2:1000064,RADS2:1000064:2103840818,IDENTIFIED_BY_PHONE
RASFA:1000067,RASFA:1000067:8175627774,IDENTIFIED_BY_PHONE
RASFA:1000067,RASFA:1000067:8177013232,IDENTIFIED_BY_PHONE
CIRPA:1000069,CIRPA:1000069:8133120791,IDENTIFIED_BY_PHONE
ACR:1000070,ACR:1000070:4197075733,IDENTIFIED_BY_PHONE
RADF:1000071,RADF:1000071:7255769442,IDENTIFIED_BY_PHONE
RADF:1000071,RADF:1000071:7023077131,IDENTIFIED_BY_PHONE
RADC:1000074,RADC:1000074:6149586028,IDENTIFIED_BY_PHONE
RADS2:1000076,RADS2:1000076:7134776478,IDENTIFIED_BY_PHONE
RADS2:1000076,RADS2:1000076:9723505449,IDENTIFIED_BY_PHONE
RADK:1000078,RADK:1000078:4782806724,IDENTIFIED_BY_PHONE
RASFA:1000082,RASFA:1000082:5129635462,IDENTIFIED_BY_PHONE
RADQ:1000084,RADQ:1000084:7757239694,IDENTIFIED_BY_PHONE
RADQ:1000084,RADQ:1000084:7254390427,IDENTIFIED_BY_PHONE
RADX:1000087,RADX:1000087:9726986149,IDENTIFIED_BY_PHONE
RADR:1000089,RADR:1000089:6154603796,IDENTIFIED_BY_PHONE
RADX:1000092,RADX:1000092:2147100021,IDENTIFIED_BY_PHONE
RADX:1000092,RADX:1000092:2102794338,IDENTIFIED_BY_PHONE
RADX:1000092,RADX:1000092:9728975343,IDENTIFIED_BY_PHONE
RADC:1000095,RADC:1000095:9374194824,IDENTIFIED_BY_PHONE
RADC:1000095,RADC:1000095:6147296819,IDENTIFIED_BY_PHONE
RADE:1000097,RADE:1000097:9044823721,IDENTIFIED_BY_PHONE
PXP:1000100,PXP:1000100:5612905668,IDENTIFIED_BY_PHONE
PXP:1000100,PXP:1000100:9047967726,IDENTIFIED_BY_PHONE
RADH:1000101,RADH:1000101:8178745422,IDENTIFIED_BY_PHONE
RADX:1000105,RADX:1000105:8175556239,IDENTIFIED_BY_PHONE
RADX:1000105,RADX:1000105:5128218828,IDENTIFIED_BY_PHONE
RADS2:1000109,RADS2:1000109:2109007797,IDENTIFIED_BY_PHONE
RADS2:1000109,RADS2:1000109:8175377179,IDENTIFIED_BY_PHONE
MRB:1000113,MRB:1000113:9017417164,IDENTIFIED_BY_PHONE
SAPA:1000117,SAPA:1000117:2108624797,IDENTIFIED_BY_PHONE
SAPA:1000117,SAPA:1000117:5124210777,IDENTIFIED_BY_PHONE
SAPA:1000117,SAPA:1000117:8179495986,IDENTIFIED_BY_PHONE
RADF:1000118,RADF:1000118:7022863591,IDENTIFIED_BY_PHONE
RADO:1000121,RADO:1000121:9042186676,IDENTIFIED_BY_PHONE
GSIA:1000122,GSIA:1000122:9728398657,IDENTIFIED_BY_PHONE
GSIA:1000122,GSIA:1000122:8179833884,IDENTIFIED_BY_PHONE
NRAA:1000125,NRAA:1000125:6153701768,IDENTIFIED_BY_PHONE
NRAA:1000125,NRAA:1000125:4235677263,IDENTIFIED_BY_PHONE
SAPA:1000129,SAPA:1000129:9729643091,IDENTIFIED_BY_PHONE
RADI2:1000130,RADI2:1000130:9378798396,IDENTIFIED_BY_PHONE
RADI2:1000130,RADI2:1000130:3309616401,IDENTIFIED_BY_PHONE
ACR:1000133,ACR:1000133:4196239019,IDENTIFIED_BY_PHONE
RASFA:1000136,RASFA:1000136:8172661799,IDENTIFIED_BY_PHONE
RADD:1000143,RADD:1000143:7708515608,IDENTIFIED_BY_PHONE
RADA:1000147,RADA:1000147:9317312283,IDENTIFIED_BY_PHONE
RADK:1000151,RADK:1000151:4783366644,IDENTIFIED_BY_PHONE
MRB:1000153,MRB:1000153:6157776707,IDENTIFIED_BY_PHONE
ESR:1000156,ESR:1000156:4075536336,IDENTIFIED_BY_PHONE
SAPA:1000160,SAPA:1000160:2104592990,IDENTIFIED_BY_PHONE
SAPA:1000160,SAPA:1000160:8172931620,IDENTIFIED_BY_PHONE
SAPA:1000160,SAPA:1000160:2143268541,IDENTIFIED_BY_PHONE
RADG:1000163,RADG:1000163:6152123327,IDENTIFIED_BY_PHONE
RADC:1000167,RADC:1000167:3309771229,IDENTIFIED_BY_PHONE
GSIA:1000168,GSIA:1000168:8178460516,IDENTIFIED_BY_PHONE
